s,E,N,kappa_c,nx,ny
697.4783470786978,545162.1879398436,2819574.701585515,0.01338325218930939,-0.8732904045228964,-0.4872000301398142
703.349100779976,545166.2726356286,2819570.4848320996,0.01151247588497483,0.7592560146250534,0.6507920591522922
709.1867402177619,545170.1964424952,2819566.162590334,0.014295290824809353,0.6982108905343252,0.7158921373637684
713.6001866798333,545173.3967790087,2819563.1234529773,0.0044345923166663305,0.6953607804276507,0.7186608275417886
718.7844086248389,545177.0294019557,2819559.4247764978,0.0020672893110404043,0.7233214454203308,0.6905114673885173
723.1978899911127,545180.1689122376,2819556.322794396,0.004385737819625376,0.659089443415156,0.7520645621080013
728.2292823100679,545184.1756166102,2819553.2795676976,-0.0005098841604485361,0.5755650622498993,0.8177559899611067
734.430742756987,545189.277142209,2819549.7535858145,0.0007412780676785345,0.5571301628990114,0.8304251812102769
740.6410895675131,545194.544885341,2819546.4643169288,0.006673577435258852,0.48976401606863124,0.8718550387331173
745.9481170133907,545199.1826323346,2819543.884424851,0.01686943764445979,0.5232166338607422,0.8521997148857972
750.972175134188,545203.3975605326,2819541.1502814223,-0.008474050055237225,0.5139807126248364,0.8578017411090196
756.9465212028775,545208.6733520047,2819538.3469199953,-0.001040346782311189,0.479375847191069,0.8776097066064419
760.8318144709826,545211.9974267673,2819536.335445225,-0.0019656683684922812,0.5516394585673449,0.8340826744103529
769.0121710293482,545218.6896460152,2819531.6309330333,-0.0032295681935475226,0.5592847709383867,0.8289755997593634
775.7143792752664,545224.3315673952,2819528.013154915,-0.003853817165246072,0.5465520877470712,0.8374251103109566
786.2575381845942,545232.9406254035,2819521.9269146966,0.0010319207053379376,0.5871578001437011,0.8094724934983334
792.0298613143981,545237.7184875769,2819518.6878180066,0.002313882770166877,0.5133035117166845,0.8582071456585056
798.4759063740045,545243.352910751,2819515.5565606863,0.0015134207430931071,0.5096653584692808,0.8603727229383666
803.7809596360258,545247.8399817325,2819512.7264044858,0.0005965892855378389,0.5201500476914738,0.8540748959468119
811.9582593594477,545254.9735921033,2819508.72892605,0.0017420900987195893,0.5052415261204511,0.862977983660926
818.9940662894279,545260.889952498,2819504.921136818,0.0014859496176601475,0.5584750849225302,0.8295212953992034
826.5821489252403,545267.2333442358,2819500.756958706,-0.001240999935650069,0.5298660023051122,0.848081375577367
830.6580340356992,545270.7086966939,2819498.627460003,-0.00019314676037474057,0.5228510525684654,0.8524240592733453
839.9471299765682,545278.6921045551,2819493.878512507,0.002395702727990317,0.46846729558050465,0.8834808390516957
848.1164184960576,545285.9552239431,2819490.1389441267,-0.004222278330666132,0.5018541333970421,0.8649522696613402
855.6406098960684,545292.1831231782,2819485.916773199,0.007193484204106964,0.5906603287513463,0.8069203034001261
862.8780278271522,545298.1658779252,2819481.8440758195,-0.0065517931225843335,0.5024263284618635,0.8646200231710642
869.116490904751,545303.729343745,2819479.0216177343,0.020888148665980186,0.43406915790800504,0.9008795514124156
878.6235430271211,545312.0607875226,2819474.4421980507,-0.019292206769531733,0.5531280577820242,0.8330962439564147
884.8515272533673,545317.2251997712,2819470.9613025268,-0.004395053990759609,0.507813637257353,0.8614669522479999
890.2862600207435,545322.0326929373,2819468.4266763786,-0.0020117965680084464,0.48097380433653747,0.8767349653926425
899.1164630269601,545329.4114133402,2819463.57621554,0.010696429391284646,0.5728967985947061,0.8196275118368933
906.7960252458579,545335.8378613981,2819459.371879536,0.01503323931877325,0.5120829282482282,0.8589360130980187
913.0658041853274,545341.421616643,2819456.520247492,0.028918658446603174,0.37424243903755694,0.927330899314382
919.6865126481745,545347.5801442452,2819454.0899556736,0.024452166157177116,0.45962599696440704,0.8881125733343015
925.4490912795192,545352.7068012868,2819451.45847319,0.03266140943961514,0.27356944483018747,0.9618522541717637
928.954051880149,545356.118375842,2819450.654789256,0.031442721360081693,0.3610832263432732,0.9325335938471775
934.422666734341,545361.3306513283,2819449.0001192954,0.027287968179331257,-0.40551478486828113,0.9140884854614632
935.0143852630152,545361.8568441998,2819449.270770139,0.022232482606131435,-0.440520257653037,0.8977426705895748
941.5513071451743,545368.3169518642,2819448.2715921476,0.021037934989680294,0.23932918696293218,0.9709384842860344
949.6964666354402,545376.4620510053,2819448.240237684,0.004187424974104132,-0.0002918237916537997,0.9999999574194364
955.7462920640903,545382.4871780741,2819447.6941319043,-0.0003990525149500807,0.09294780499751848,0.9956709825771479
962.7214292916312,545389.4317517347,2819447.041877341,-0.015128927401579064,0.19140583821796306,0.9815109806293961
968.0283068255709,545394.5947223676,2819445.814407014,-0.025740376446702535,0.1647401459254116,0.9863370034224986
